tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Health Science,1452,University of Ottawa,Kristi,,Adamo,2649858,1,poor,TEACHER,PROFESSOR,1.0
Engineering,1452,University of Ottawa,Carlisle,,Adams,553122,35,good,TEACHER,PROFESSOR,4.3
Biology,1452,University of Ottawa,Catherine,M,Adams,2294513,2,good,TEACHER,PROFESSOR,5.0
Biology,1452,University of Ottawa,Christina,,Addison,467176,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1452,University of Ottawa,Opeyemi,,Adesina,2226848,5,good,TEACHER,PROFESSOR,5.0
Engineering,1452,University of Ottawa,Salim,,Adjali,1968438,4,poor,TEACHER,PROFESSOR,1.9
Business,1452,University of Ottawa,Fodil,,Adjaoud,512628,66,good,TEACHER,PROFESSOR,4.3
Engineering,1452,University of Ottawa,Andy,,Adler,81008,11,average,TEACHER,PROFESSOR,3.3
English,1452,University of Ottawa,Nour,,Afara,2577772,7,poor,TEACHER,PROFESSOR,2.1
Social Sciences,1452,University of Ottawa,Edoe,,Agbodjan,1618434,1,poor,TEACHER,PROFESSOR,1.5
Sociology,1452,University of Ottawa,Adolphine Y.,,Aggor-Boateng,713926,172,poor,TEACHER,PROFESSOR,2.0
Medicine,1452,University of Ottawa,Celine,,Aguer,1815458,7,good,TEACHER,PROFESSOR,3.9
English,1452,University of Ottawa,Tania,,Aguila-Way,1881275,13,average,TEACHER,PROFESSOR,3.2
Theater,1452,University of Ottawa,Kyle,,Ahluwalia,1991072,2,average,TEACHER,PROFESSOR,3.0
English,1452,University of Ottawa,Shafi,,Ahmad,303227,26,poor,TEACHER,PROFESSOR,2.2
Communication,1452,University of Ottawa,Rukhsana,,Ahmed,1028727,33,average,TEACHER,PROFESSOR,3.2
Computer Science,1452,University of Ottawa,Sherif,Aly,Ahmed,1979950,12,good,TEACHER,PROFESSOR,3.5
Electrical Engineering amp Computer Science,1452,University of Ottawa,Mohamed,Hossam,Ahmed,2349793,12,poor,TEACHER,PROFESSOR,2.0
Engineering,1452,University of Ottawa,Ahsan,,Ahmed,1654832,42,good,TEACHER,PROFESSOR,3.9
Electrical Engineering  Computer Science,1452,University of Ottawa,Mohamed,,Ahmed,2279701,25,average,TEACHER,PROFESSOR,3.0
Economics,1452,University of Ottawa,Kazi,,Ahmed,2655854,6,average,TEACHER,PROFESSOR,2.7
Linguistics,1452,University of Ottawa,Suzy,,Ahn,2767177,1,good,TEACHER,PROFESSOR,5.0
Law,1452,University of Ottawa,Charles,,Ahoto,2021772,1,good,TEACHER,PROFESSOR,4.5
Information Technology,1452,University of Ottawa,Abdou,,Ait Hammou,1950870,9,average,TEACHER,PROFESSOR,3.4
History,1452,University of Ottawa,Madeleine,,Aitchison,2747344,2,good,TEACHER,PROFESSOR,5.0
Japanese,1452,University of Ottawa,Yoriko,,Aizu,1546495,24,good,TEACHER,PROFESSOR,4.2
Law,1452,University of Ottawa,Luc,,Akakpo,1792235,2,good,TEACHER,PROFESSOR,4.5
Information Technology,1452,University of Ottawa,Okhaide,,Akhigbe,2305208,28,poor,TEACHER,PROFESSOR,2.3
Biology,1452,University of Ottawa,Marie-André,,Akimenko,2211423,0,zero,TEACHER,PROFESSOR,N/A
Arabic Studies,1452,University of Ottawa,Joyce,,Akl,2625199,16,good,TEACHER,PROFESSOR,4.5
Finance,1452,University of Ottawa,Ali,,Akyol,2660443,10,poor,TEACHER,PROFESSOR,1.9
Earth  Environmental Sciences,1452,University of Ottawa,Tom,,Al,2265902,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1452,University of Ottawa,Hussein,,Al Osman,1835692,25,good,TEACHER,PROFESSOR,4.5
Electrical Engineering & Computer Science,1452,University of Ottawa,Omar,,Al-Buraiki,2569309,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1452,University of Ottawa,Abdul,,Al-Dhaher,12908,118,poor,TEACHER,PROFESSOR,2.2
Political Studies,1452,University of Ottawa,Rouba,,Al-Fattal,1893954,71,average,TEACHER,PROFESSOR,3.3
Arabic Studies,1452,University of Ottawa,Basam,,Al-Hasoo,2556861,8,good,TEACHER,PROFESSOR,4.5
Arabic Studies,1452,University of Ottawa,Bassam,,Al-Hassou,2763097,1,good,TEACHER,PROFESSOR,5.0
Engineering,1452,University of Ottawa,Ahmad,,Al-Jarrah,783749,10,average,TEACHER,PROFESSOR,2.5
Engineering,1452,University of Ottawa,Mahmoud,,Al-Riffai,1906600,18,poor,TEACHER,PROFESSOR,2.3
Health Science,1452,University of Ottawa,Mustafa,,Al-Zoughool,1752490,3,poor,TEACHER,PROFESSOR,1.2
Nursing,1452,University of Ottawa,Diane,,Alain,652552,2,average,TEACHER,PROFESSOR,2.5
Chemistry,1452,University of Ottawa,St-Amant,,Alain,512341,160,good,TEACHER,PROFESSOR,4.0
Engineering,1452,University of Ottawa,Imad,,Alainachi,2408017,1,good,TEACHER,PROFESSOR,5.0
Economics,1452,University of Ottawa,Rizwana,,Alamgir-Arif,1616456,17,good,TEACHER,PROFESSOR,4.0
Science,1452,University of Ottawa,Emilio,Isaac,Alarcon,2706248,0,zero,TEACHER,PROFESSOR,N/A
Business,1452,University of Ottawa,Rami,,Alasadi,1763545,13,good,TEACHER,PROFESSOR,5.0
Languages,1452,University of Ottawa,Anahi,,Alba De La Fuente,740495,8,good,TEACHER,PROFESSOR,4.9
Physics,1452,University of Ottawa,Marwan,,Albarghouti,1475671,6,good,TEACHER,PROFESSOR,3.8
Canadian Studies,1452,University of Ottawa,Aedan,,Alderson,2696187,1,good,TEACHER,PROFESSOR,5.0
Sociology  Anthropology,1452,University of Ottawa,Mariia,,Alekseevskaia,2277970,1,good,TEACHER,PROFESSOR,5.0
Engineering,1452,University of Ottawa,Alameer,,Ali,2751522,1,good,TEACHER,PROFESSOR,5.0
Religion,1452,University of Ottawa,Mehmet,,Ali Basak,2685494,12,good,TEACHER,PROFESSOR,4.5
Computer Science,1452,University of Ottawa,Mohammad,Mahmoud,Alja'afreh,2443730,57,good,TEACHER,PROFESSOR,4.3
Engineering,1452,University of Ottawa,Mohammad,,Alja'afreh,2774525,0,zero,TEACHER,PROFESSOR,N/A
Computer Engineering,1452,University of Ottawa,Mohammad,,Alja'Afreh,2818502,0,zero,TEACHER,PROFESSOR,N/A
Business,1452,University of Ottawa,Tariq,,Aljuneidi,2361621,0,zero,TEACHER,PROFESSOR,N/A
Arabic Studies,1452,University of Ottawa,Norah,,Alkharashi,2609443,2,good,TEACHER,PROFESSOR,4.5
Modern Languages amp Literatures,1452,University of Ottawa,Mo,,Alkhunaizi,2655955,5,good,TEACHER,PROFESSOR,4.0
Education,1452,University of Ottawa,Rheal,,Allain,180308,26,good,TEACHER,PROFESSOR,4.8
English,1452,University of Ottawa,Thomas,,Allen,645333,29,good,TEACHER,PROFESSOR,3.9
Political Science,1452,University of Ottawa,Jessica,,Allina-Pisano,1034333,3,good,TEACHER,PROFESSOR,4.8
History,1452,University of Ottawa,Eric,,Allina-Pisano,1270414,29,good,TEACHER,PROFESSOR,4.0
Health Science,1452,University of Ottawa,Ahmed,,Almaskut,1747596,19,good,TEACHER,PROFESSOR,4.2
Computer Science,1452,University of Ottawa,Mohammad,,Alnabhan,2766995,1,good,TEACHER,PROFESSOR,5.0
International Studies,1452,University of Ottawa,Georgina,,Alonso,2409938,0,zero,TEACHER,PROFESSOR,N/A
Electrical Engineering  Computer Science,1452,University of Ottawa,Moayad,,Aloqaily,2214298,3,good,TEACHER,PROFESSOR,4.3
Mathematics,1452,University of Ottawa,Isra,,Alshbeil,2405625,1,good,TEACHER,PROFESSOR,5.0
French,1452,University of Ottawa,Ma'moun,,Alshtaiwi,2664474,5,poor,TEACHER,PROFESSOR,2.2
Science,1452,University of Ottawa,Illimar,,Altosaar,99449,20,average,TEACHER,PROFESSOR,2.9
Law,1452,University of Ottawa,Alberto,,Alvarez-Jiménez,1618477,4,poor,TEACHER,PROFESSOR,1.5
Criminology,1452,University of Ottawa,Sam,,Alvaro,2718300,5,poor,TEACHER,PROFESSOR,1.0
Social Science,1452,University of Ottawa,Sam,,Alvaro,12910,289,average,TEACHER,PROFESSOR,3.1
Women's Studies,1452,University of Ottawa,Saba,,Alvi,1867215,26,good,TEACHER,PROFESSOR,3.8
Mathematics,1452,University of Ottawa,Mayer,,Alvo,42425,40,poor,TEACHER,PROFESSOR,2.4
Linguistics,1452,University of Ottawa,Sawsan,,Alwabari,2507488,0,zero,TEACHER,PROFESSOR,N/A
Languages,1452,University of Ottawa,Laura,,Ambrosio,309587,33,average,TEACHER,PROFESSOR,3.4
Mathematics,1452,University of Ottawa,Mahdi,,Ammar,2561905,23,average,TEACHER,PROFESSOR,3.4
Theater,1452,University of Ottawa,Janet,,Amos,1098884,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1452,University of Ottawa,Daniel,,Amyot,106789,20,good,TEACHER,PROFESSOR,4.2
History,1452,University of Ottawa,Pierre,,Anctil,474918,27,good,TEACHER,PROFESSOR,4.2
Communication,1452,University of Ottawa,Fernando,,Andacht,898674,35,average,TEACHER,PROFESSOR,3.0
Mathematics,1452,University of Ottawa,Martin,,Anderegg,1591616,2,average,TEACHER,PROFESSOR,2.5
Accounting,1452,University of Ottawa,Teresa,,Anderson,43069,21,average,TEACHER,PROFESSOR,3.1
Nursing,1452,University of Ottawa,Alexis,,Anderson,2141672,1,good,TEACHER,PROFESSOR,4.0
Religion,1452,University of Ottawa,Emma,,Anderson,753834,52,good,TEACHER,PROFESSOR,4.3
Management,1452,University of Ottawa,Pavel,,Andreev,1833197,6,good,TEACHER,PROFESSOR,4.4
Health Science,1452,University of Ottawa,Andrew,,Andrew Darnel,2822097,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1452,University of Ottawa,Caroline,,Andrews,40557,20,good,TEACHER,PROFESSOR,3.9
Education,1452,University of Ottawa,Bernie,,Andrews,115934,17,good,TEACHER,PROFESSOR,3.7
English,1452,University of Ottawa,Kimberly,,Andrews,2750811,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1452,University of Ottawa,Jules,,Ange-Infante,1869191,13,poor,TEACHER,PROFESSOR,2.1
Economics,1452,University of Ottawa,Radu,,Anghel,2185041,13,average,TEACHER,PROFESSOR,2.9
Communication,1452,University of Ottawa,Mai,,Anh Doan,2354061,0,zero,TEACHER,PROFESSOR,N/A
Art,1452,University of Ottawa,Cameron,,Anstee,1878794,9,good,TEACHER,PROFESSOR,4.4
German,1452,University of Ottawa,James,,Anthony,2825907,0,zero,TEACHER,PROFESSOR,N/A
Communication,1452,University of Ottawa,Slavka,,Antonova,2521060,9,poor,TEACHER,PROFESSOR,1.8
Engineering,1452,University of Ottawa,Hassan,,Aoude,1657788,22,good,TEACHER,PROFESSOR,4.8
Management,1452,University of Ottawa,Seli,K,Apedome,1866587,23,average,TEACHER,PROFESSOR,3.5
Management,1452,University of Ottawa,Garick,,Apollon,634488,34,average,TEACHER,PROFESSOR,3.5
Philosophy,1452,University of Ottawa,Iva,,Apostolova,512971,69,good,TEACHER,PROFESSOR,3.8
Chemistry,1452,University of Ottawa,Kim,,Apperley,2292557,13,poor,TEACHER,PROFESSOR,2.3
Business,1452,University of Ottawa,Garrick,,Appolon,1079241,9,good,TEACHER,PROFESSOR,4.2
Art,1452,University of Ottawa,Tiffany,,April,2727493,1,poor,TEACHER,PROFESSOR,2.0
Law,1452,University of Ottawa,Adam,,Aptowitzer,2642578,0,zero,TEACHER,PROFESSOR,N/A
Economics,1452,University of Ottawa,Alex,,Aqallal,1457308,20,poor,TEACHER,PROFESSOR,2.4
History,1452,University of Ottawa,Ana,,Araujo,1060029,9,average,TEACHER,PROFESSOR,2.6
Languages,1452,University of Ottawa,Geraldine,,Arbach,274833,80,good,TEACHER,PROFESSOR,4.0
Electrical Engineering & Computer Science,1452,University of Ottawa,Gilbert,,Arbez,2479691,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1452,University of Ottawa,Gilbert,,Arbez,365850,76,average,TEACHER,PROFESSOR,3.2
Economics,1452,University of Ottawa,Jerome,,Archambault,2572041,2,good,TEACHER,PROFESSOR,4.5
Business,1452,University of Ottawa,Matthew,,Archibald,465107,214,good,TEACHER,PROFESSOR,3.7
Political Science,1452,University of Ottawa,Dominique,,Arel,388331,48,average,TEACHER,PROFESSOR,3.0
Human Development,1452,University of Ottawa,Alexandra,,Arellano,1873611,6,average,TEACHER,PROFESSOR,3.3
Economics,1452,University of Ottawa,Faisal,,Arif,1589410,14,average,TEACHER,PROFESSOR,3.4
Biology,1452,University of Ottawa,Stephane ,,Aris-Brosou,1964180,6,poor,TEACHER,PROFESSOR,2.3
Music,1452,University of Ottawa,John,,Armstrong,58457,15,good,TEACHER,PROFESSOR,4.3
Psychology,1452,University of Ottawa,Laura,,Armstrong,907884,12,good,TEACHER,PROFESSOR,4.3
Economics,1452,University of Ottawa,Deri,,Armstrong,1063519,14,good,TEACHER,PROFESSOR,4.1
Psychology,1452,University of Ottawa,Heather,,Armstrong,1987052,2,average,TEACHER,PROFESSOR,3.0
Economics,1452,University of Ottawa,Catherine,Deri,Armstrong,2333827,3,average,TEACHER,PROFESSOR,3.0
Science,1452,University of Ottawa,John,,Arnason,17238,52,good,TEACHER,PROFESSOR,4.2
Education,1452,University of Ottawa,Stephanie,,Arnott,1859249,3,good,TEACHER,PROFESSOR,4.5
Science,1452,University of Ottawa,Bill,,Arnott,107056,22,good,TEACHER,PROFESSOR,4.0
Philosophy,1452,University of Ottawa,Hilliard,,Aronovitch,9316,58,good,TEACHER,PROFESSOR,4.3
Languages,1452,University of Ottawa,Ana,,Arregui,466307,26,average,TEACHER,PROFESSOR,3.1
English,1452,University of Ottawa,Mary,,Arseneau,24502,17,good,TEACHER,PROFESSOR,4.1
English,1452,University of Ottawa,Steven,,Artelle,46975,8,good,TEACHER,PROFESSOR,4.8
Social Sciences,1452,University of Ottawa,Nasser,,Ary Tanimoune,1475282,22,poor,TEACHER,PROFESSOR,2.2
Engineering,1452,University of Ottawa,Mahyar,,Asadi,1885641,5,good,TEACHER,PROFESSOR,4.7
Psychology,1452,University of Ottawa,Andrea,,Ashbaugh,2046238,21,poor,TEACHER,PROFESSOR,2.2
Social Sciences,1452,University of Ottawa,Furqan,,Asif,2336682,13,good,TEACHER,PROFESSOR,4.8
Psychology,1452,University of Ottawa,Ersin,,Asliturk,1759626,26,good,TEACHER,PROFESSOR,4.3
Law,1452,University of Ottawa,Josee,,Aspinall,1659719,34,good,TEACHER,PROFESSOR,4.7
Engineering,1452,University of Ottawa,Mansour,,Assaf,327881,11,average,TEACHER,PROFESSOR,3.3
Linguistics,1452,University of Ottawa,Belen,,Assef,2723536,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1452,University of Ottawa,Robert,,Asselin,349256,6,good,TEACHER,PROFESSOR,4.1
Engineering,1452,University of Ottawa,Ali,,Assem Mahmoud,2704763,2,good,TEACHER,PROFESSOR,5.0
Management,1452,University of Ottawa,Davood,,Astaraky,1819432,72,average,TEACHER,PROFESSOR,3.3
Political Science,1452,University of Ottawa,Peter,,Atack,951349,4,good,TEACHER,PROFESSOR,4.6
Economics,1452,University of Ottawa,Gamal,,Atallah,44861,25,good,TEACHER,PROFESSOR,3.5
Engineering,1452,University of Ottawa,Charbel,,Atallah,2652851,2,good,TEACHER,PROFESSOR,5.0
Psychology,1452,University of Ottawa,Cristina,,Atance,325867,22,good,TEACHER,PROFESSOR,4.0
Anthropology,1452,University of Ottawa,Richard,,Atimniraye Nyelade,2742420,15,good,TEACHER,PROFESSOR,4.2
English,1452,University of Ottawa,Hazel,,Atkins,1306034,27,good,TEACHER,PROFESSOR,4.1
Law,1452,University of Ottawa,Amir,,Attaran,2650424,124,poor,TEACHER,PROFESSOR,1.0
Modern Languages & Literatures,1452,University of Ottawa,Remy,,Attig,1542769,7,good,TEACHER,PROFESSOR,4.1
Political Science,1452,University of Ottawa,Tyler,,Attwood,681236,138,good,TEACHER,PROFESSOR,4.3
Philosophy,1452,University of Ottawa,John,,Atytalla,2231242,17,good,TEACHER,PROFESSOR,4.3
Management,1452,University of Ottawa,Jean-Francois,,Aubert,926841,191,good,TEACHER,PROFESSOR,4.2
Theater,1452,University of Ottawa,Paul,,Auclair,2034154,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1452,University of Ottawa,Pauline,,Aucoin Mckenzie,2483149,6,good,TEACHER,PROFESSOR,4.0
Education,1452,University of Ottawa,Cristelle,,Audet,1983977,0,zero,TEACHER,PROFESSOR,N/A
Marketing,1452,University of Ottawa,Joseph,,Audi,1071281,15,good,TEACHER,PROFESSOR,3.8
Sociology  Anthropology,1452,University of Ottawa,Ramazani,Bishwende,Augustin,2100179,4,poor,TEACHER,PROFESSOR,1.9
English,1452,University of Ottawa,.,,Aurbach,520003,3,good,TEACHER,PROFESSOR,4.2
Education,1452,University of Ottawa,Tasha-Ann,,Ausman,2561394,3,good,TEACHER,PROFESSOR,3.7
Art,1452,University of Ottawa,Melanie,,Authier,2690262,0,zero,TEACHER,PROFESSOR,N/A
Biology,1452,University of Ottawa,Fabien,,Avaron,1182974,41,average,TEACHER,PROFESSOR,2.6
Administration,1452,University of Ottawa,Alpha,,Ayande,2421032,4,poor,TEACHER,PROFESSOR,1.0
Electrical Engineering & Computer Science,1452,University of Ottawa,Mana,,Azarm,2589895,12,average,TEACHER,PROFESSOR,2.8
Philosophy,1452,University of Ottawa,Siyaves,,Azeri,1216415,24,poor,TEACHER,PROFESSOR,1.6
Political Science,1452,University of Ottawa,Phil,,Azzie,14966,18,good,TEACHER,PROFESSOR,4.3
Sociology,1452,University of Ottawa,Rahim,,Baba,1228378,54,poor,TEACHER,PROFESSOR,2.0
Social Science,1452,University of Ottawa,Betty,,Baba,1200196,61,good,TEACHER,PROFESSOR,3.8
Business,1452,University of Ottawa,Vusal,,Babashov,2422862,4,average,TEACHER,PROFESSOR,2.8
Communication,1452,University of Ottawa,Denis,,Bachand,15476,15,average,TEACHER,PROFESSOR,3.1
Law,1452,University of Ottawa,Constance,,Backhouse,1271370,8,average,TEACHER,PROFESSOR,2.8
Nursing,1452,University of Ottawa,Chantal,,Backman,2406132,12,average,TEACHER,PROFESSOR,3.1
Engineering,1452,University of Ottawa,Natalie,,Baddour,1100967,19,average,TEACHER,PROFESSOR,3.3
Physics,1452,University of Ottawa,Antonio,,Badolato,2342749,4,poor,TEACHER,PROFESSOR,1.5
Computer Science,1452,University of Ottawa,Ghada,,Badr,2175742,15,average,TEACHER,PROFESSOR,3.2
Computer Science,1452,University of Ottawa,Omar,,Badreddin,1780862,26,good,TEACHER,PROFESSOR,4.8
Mathematics,1452,University of Ottawa,Sanghoon,,Baek,1512962,5,good,TEACHER,PROFESSOR,4.2
Science,1452,University of Ottawa,John,,Baenziger,815171,8,good,TEACHER,PROFESSOR,4.0
Anthropology,1452,University of Ottawa,Subrata Sankar,,Bagchi,1228627,3,average,TEACHER,PROFESSOR,3.2
Engineering,1452,University of Ottawa,Kevin,,Bagheri,2594707,1,poor,TEACHER,PROFESSOR,1.0
Mathematics,1452,University of Ottawa,Marc,,Bagnol,2036651,7,poor,TEACHER,PROFESSOR,2.3
Engineering,1452,University of Ottawa,Bahareh,,Bahareh Momenan,2196799,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1452,University of Ottawa,Amin,,Bahmanian,1878074,33,good,TEACHER,PROFESSOR,4.0
Engineering,1452,University of Ottawa,Abdorrahim,,Bahrami,2821848,0,zero,TEACHER,PROFESSOR,N/A
Administration,1452,University of Ottawa,Moujib,,Bahri,2765065,0,zero,TEACHER,PROFESSOR,N/A
Law,1452,University of Ottawa,Jane,,Bailey,1227666,21,good,TEACHER,PROFESSOR,4.7
English,1452,University of Ottawa,Elaine,,Bailey,80071,52,average,TEACHER,PROFESSOR,3.2
Criminology,1452,University of Ottawa,Maykal,,Bailey,2546613,2,good,TEACHER,PROFESSOR,5.0
Health Science,1452,University of Ottawa,Raymond,,Baillargeon,1247807,34,poor,TEACHER,PROFESSOR,2.0
Health Science,1452,University of Ottawa,Shannon,,Bainbridge-Whiteside,1657958,12,good,TEACHER,PROFESSOR,4.2
Psychology,1452,University of Ottawa,Brenda,,Baird,751968,123,good,TEACHER,PROFESSOR,4.3
English,1452,University of Ottawa,Poonam,,Bajwa,1471529,9,good,TEACHER,PROFESSOR,4.3
Sociology,1452,University of Ottawa,John,,Baker,1154600,154,good,TEACHER,PROFESSOR,3.9
Chemistry,1452,University of Ottawa,R. Tom,,Baker,2272893,0,zero,TEACHER,PROFESSOR,N/A
English,1452,University of Ottawa,Jennifer,,Baker,1942779,15,good,TEACHER,PROFESSOR,4.0
Psychology,1452,University of Ottawa,Stephanie,,Baker,1716417,28,average,TEACHER,PROFESSOR,3.0
Law,1452,University of Ottawa,Natasha,,Bakht,1099275,12,average,TEACHER,PROFESSOR,3.3
Mathematics,1452,University of Ottawa,Raluca,,Balan,258180,57,average,TEACHER,PROFESSOR,3.4
History,1452,University of Ottawa,Betsey,,Baldwin,65169,24,good,TEACHER,PROFESSOR,4.0
Social Work,1452,University of Ottawa,Peter,,Balogh,2148731,6,average,TEACHER,PROFESSOR,2.7
Social Sciences,1452,University of Ottawa,Nipa,,Banerjee,1959739,4,poor,TEACHER,PROFESSOR,1.4
Education,1452,University of Ottawa,Francis,,Bangou,1587858,14,good,TEACHER,PROFESSOR,4.4
Geography,1452,University of Ottawa,Abderrazak,,Bannari,1818215,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1452,University of Ottawa,Nafisa,,Bano,2242356,10,poor,TEACHER,PROFESSOR,1.9
Communication,1452,University of Ottawa,Elie,,Banyongen,1671522,17,poor,TEACHER,PROFESSOR,2.4
Science,1452,University of Ottawa,Xiaoyi,,Bao,50698,8,poor,TEACHER,PROFESSOR,1.6
Economics,1452,University of Ottawa,Fayyaz,,Baqir,2473802,3,good,TEACHER,PROFESSOR,5.0
English,1452,University of Ottawa,Gefen,,Bar-On Santor,1777885,58,average,TEACHER,PROFESSOR,3.5
Languages,1452,University of Ottawa,Gerardo,,Barajas,530993,7,good,TEACHER,PROFESSOR,4.6
Engineering,1452,University of Ottawa,Olena,,Baranova,1478978,6,average,TEACHER,PROFESSOR,3.3
Social Sciences,1452,University of Ottawa,Stephen,,Baranyi,1509151,11,good,TEACHER,PROFESSOR,4.2
Music,1452,University of Ottawa,Genevieve,,Barbara Bazinet,2268022,32,good,TEACHER,PROFESSOR,4.6
Psychology,1452,University of Ottawa,Kheana,,Barbeau-Julien,2745305,5,average,TEACHER,PROFESSOR,3.2
English,1452,University of Ottawa,Benjamin,,Barber,1973261,4,good,TEACHER,PROFESSOR,3.9
Business,1452,University of Ottawa,Leslie-Anne,,Barber,2188916,16,average,TEACHER,PROFESSOR,3.2
History,1452,University of Ottawa,Jacques,,Barbier,12691,65,average,TEACHER,PROFESSOR,3.0
Mathematics,1452,University of Ottawa,Mohammad,,Bardestani,1841021,35,average,TEACHER,PROFESSOR,3.3
Economics,1452,University of Ottawa,Vicky,,Barham,88991,30,poor,TEACHER,PROFESSOR,2.5
Women's Studies,1452,University of Ottawa,Alexandre,,Baril,2049463,24,good,TEACHER,PROFESSOR,4.2
Education,1452,University of Ottawa,Martin,,Barlosky,115938,15,average,TEACHER,PROFESSOR,3.3
Law,1452,University of Ottawa,Dwight,,Barnaby,1654073,2,average,TEACHER,PROFESSOR,2.8
Education,1452,University of Ottawa,Ann,,Barnes,1898097,1,poor,TEACHER,PROFESSOR,1.5
Law,1452,University of Ottawa,Naivi,Chikoc,Barreda,2822540,0,zero,TEACHER,PROFESSOR,N/A
